last_name,korean
Misiorowski,미시오로우스키
Mitchell,미첼
Miyaji,미야지
Mize,마이즈
Mlodzinski,믈로진스키
Mok,목
Moll,몰
Monasterio,모나스테리오
Moncada,몬카다
Moniak,모니악
Montgomery,몽고메리
Moon,문
Moore,무어
Morales,모랄레스
Moran,모란
Morejon,모레혼
Morel,모렐
Moreno,모레노
Morgan,모건
Mountcastle,마운트캐슬
Mullins,멀린스
Muncy,먼시
Munoz,무뇨즈
Murakami,무라카미
Murphy,머피
Musgrove,머스그로브
Na,나
Naile,네일
Nam,남
Nance,낸스
Nardi,나르디
Narvaez,나르바에즈
Naylor,네일러
Nelson,넬슨
Neto,네토
Newcomb,뉴콤
Nicolas,니콜라스
Nimmo,니모
Noh,노
Nola,놀라
Nootbaar,눗바
Norby,노비
Nunez,누네즈
O'Brien,오브라이언
O'Hearn,오헌
O'Hoppe,오호피
O'Loughlin,오러클린
O'Neill,오닐
Ober,오버
Oh,오
Ohl,올
Ohtani,오타니
Okamoto,오카모토
Okert,오커트
Oliva,올리바
Oller,올러
Olson,올슨
Ortiz,오티즈
Outman,아웃맨
Oviedo,오비에도
Ozuna,오주나
Paddack,패댁
Paez,파에즈
Pagan,파간
Pages,파헤스
Painter,페인터
Palacios,팔라시오스
Palencia,팔렌시아
Pallante,팔란테
Pallette,팔레트
Paredes,파레데스
Park,박
Pasquantino,파스콴티노
Patrick,패트릭
Pauley,폴리
Payamps,파이암스
Pearson,피어슨
Pecko,페코
Pederson,피더슨
Peguero,페구에로
Pena,페냐
Pepiot,페피옷
Peralta,페랄타
Peraza,페라자
Perdomo,페르도모
Pereira,페레이라
Perez,페레즈
Perkins,퍼킨스
Perlaza,페라자
Petersen,피터슨
Peterson,피터슨
Petit,페티트
Pfaadt,팟
Phillips,필립스
Pivetta,피베타
Polanco,폴란코
Pomeranz,포머란츠
Ponce,폰세
Poulin,풀린
Pozo,포조
Priester,프리스터
Profar,프로파
Puk,퍽
Pushard,푸샤드
Quero,퀘로
Quintana,킨타나
Rafaela,라파엘라
Ragans,레이건스
Raleigh,랠리
Raley,레이리
Ramirez,라미레즈
Ramos,라모스
Rasmussen,라스무센
Ray,레이
Rea,리아
Realmuto,리얼무토
Refsnyder,레프스나이더
Rendon,렌돈
Rengifo,렌히포
Reyes,레이예스
Reynolds,레이놀즈
Rice,라이스
Riley,라이리
Ritter,리터
Rivas,리바스
Robert Jr.,로버트 주니어
Robinson,로빈슨
Robles,로블레스
Rocchio,로치오
Rocker,록커
Rodcjn,로돈
Rodriguez,로드리게스
Rogers,로저스
Roh,노
Rojas,로하스
Romano,로마노
Romero,로메로
Rooker,루커
Rosario,로사리오
Ross,로스
Roupp,룹
Ruiz,루이즈
Rumfield,럼필드
Rushing,러싱
Rutschman,러치맨
Ryan,라이언
Ryu,류
Saalfrank,살프랑크
Sabrowski,사브로스키
Saggese,사제세
Sale,세일
Sanchez,산체스
Sandoval,산도발
Sands,샌즈
Sanmartin,산마르틴
Sanoja,사노하
Santana,산타나
Santander,산탄데르
Santillan,산티얀
Sasaki,사사키
Sauer,사우어
Schanuel,샤누엘
Scherzer,슈어저
Schlittler,슐리터
Schmidt,슈미트
Schmitt,슈미트
Schneider,슈나이더
Schreiber,슈라이버
Schultz,슐츠
Schwarber,슈와버
Schwellenbach,슈웰렌바흐
Scott,스콧
Scott II,스콧 2세
Seager,시거
Seigler,시글러
Selby,셀비
Semien,시미언
Senga,센가
Senzatela,센자텔라
Seo,서
Seok,석
Seung,승
Severino,세베리노
Sewald,시월드
Seymour,시모어
Shaw,쇼
Sheehan,시한
Sheets,시츠
Shim,심
Shin,신
Silseth,실세스
Simpson,심슨
Singer,싱어
Skenes,스킨스
Skubal,스쿠발
Slaten,슬레이튼
Slater,슬레이터
Smith,스미스
Smith-Shawver,스미스-쇼버
Snell,스넬
So,소
Soderstrom,소더스트롬
Soler,솔레어
Son,손
Song,송
Soriano,소리아노
Soroka,소로카
Sosa,소사
Soto,소토
Sousa,소우사
Speier,스파이어
Spence,스펜스
Springer,스프링어
Springs,스프링스
Sproat,스프롯
Stanek,스테넥
Stanton,스탠튼
Steele,스틸
Steer,스티어
Stephenson,스티븐슨
Sterner,스터너
Stewart,스튜어트
Stone,스톤
Story,스토리
Stott,스토트
Stowers,스토어스
Strahm,스트람
Straw,스트로
Strider,스트라이더
Suarez,수아레즈
Sugano,스가노
Sullivan,설리반
Sulser,설서
Sung,성
Susac,수삭
Suter,수터
Suzuki,스즈키
Svanson,스반슨
Swanson,스완슨
Sweeney,스위니
Taillon,타이온
Takeda,타케다
Tamura,타무라
Tatis Jr.,타티스 주니어
Taveras,타베라스
Taylor,테일러
Teel,틸
Tena,테나
Teng,텡
Teodosio,테오도시오
Thielbar,틸바
Thomas,토마스
Thompson,톰슨
Thorpe,토프
Toda,토다
Tolbert,톨버트
Tolhurst,톨허스트
Tong,통
Topa,토파
Torkelson,토켈슨
Torrens,토렌스
Torres,토레스
Tovar,토바
Treinen,트레이넨
Trevino,트레비뇨
Triolo,트리오로
Trout,트라웃
Tucker,터커
Turang,투랭
Turner,터너
Uceta,우세타
Uhm,엄
Um,엄
Urena,우레냐
Urias,유리아스
Uribe,우리에베
Urquidy,우르키디
Valdez,발데즈
Valera,발레라
Vargas,바르가스
Varland,발랜드
Varsho,바쇼
Vasil,바실
Vasquez,바스케즈
Vaughn,본
Vazquez,바스케즈
Veen,빈
Veneziano,베네치아노
Verlander,벌랜더
Vesia,베시아
Vest,베스트
Vientos,비엔토스
Vierling,비얼링
Vilade,빌레이드
Vivas,비바스
Vodnik,보드닉
Volpe,볼피
Wacha,와카
Wagner,와그너
Waldichuk,발디척
Waldrep,왈드렙
Waldron,왈드론
Walker,워커
Wallner,월너
Walls,월스
Walston,월스턴
Walter,월터
Walters,월터스
Wang,왕
Ward,워드
Warren,워런
Watson,왓슨
Weathers,웨더스
Weaver,위버
Webb,웹
Weiss,와이스
Weissert,와이서트
Wells,웰스
Wentz,웬츠
Wesneski,웨스네스키
Westburg,웨스트버그
Wetherholt,웨더홀트
Wheeler,휠러
Whisenhunt,위젠헌트
White,화이트
Whitlock,화이트록
Wick,윅
Wicks,윅스
Wiemer,위머
Wiles,와일즈
Williams,윌리엄스
Williamson,윌리엄슨
Wilson,윌슨
Winn,윈
Winquest,윈퀘스트
Witt Jr.,위트 주니어
Wolfram,울프람
Won,원
Wong,웡
Woo,우
Wood,우드
Woodford,우드포드
Woodruff,우드러프
Woods Richardson,우즈 리차드슨
Wrobleski,로블레스키
Wynns,윈스
Yamamoto,야마모토
Yang,양
Yarbrough,야브로
Yastrzemski,야스트렘스키
Yates,예이츠
Yelich,옐리치
Yeo,여
Yeom,염
Yesavage,예사버지
Yoho,요호
Yoo,유
Yoon,윤
Yorke,요크
Yoshida,요시다
Young,영
Yuk,육
Zastryzny,자스트리즈니
Zeferjahn,제퍼잔
Zerpa,세르파
