first_name,korean
Jerar,제라르
Jeremiah,제레미아
Jeremy,제레미
Jesse,제시
Jesus,헤수스
Jhoan,요안
Jhony,조니
Ji-baek,지백
Ji-chan,지찬
Ji-gwang,지광
Ji-han,지한
Ji-heon,지헌
Ji-ho,지호
Ji-hoo,지후
Ji-hoon,지훈
Ji-hwan,지환
Ji-hyuk,지혁
Ji-kang,지강
Ji-min,지민
Ji-myeong,지명
Ji-seok,지석
Ji-seong,지성
Ji-sung,지성
Ji-won,지원
Ji-woong,지웅
Ji-yeol,지열
Ji-yong,지용
Ji-yoon,지윤
Ji-young,지영
Ji-yul,지율
Jimmy,지미
Jin,진
Jin-ha,진하
Jin-ho,진호
Jin-hyuk,진혁
Jin-hyung,진형
Jin-mook,진묵
Jin-seong,진성
Jin-soo,진수
Jin-woo,진우
Jin-wook,진욱
Jin-yong,진용
Jin-young,진영
JJ,JJ
Jo,조
Joc,작
Joe,조
Joel,요엘
Joey,조이
Johan,요한
John,존
Johnathan,조나단
JoJo,조조
Jon,존
Jonah,조아
Jonathan,조나단
Jong-chan,종찬
Jong-hae,종해
Jong-hoon,종훈
Jong-hyeon,종현
Jong-hyuk,종혁
Jong-in,종인
Jong-joon,종준
Jong-min,종민
Jong-pyo,종표
Jong-seong,종성
Jong-su,종수
Jong-woo,종우
Jong-wook,종욱
Jong-woon,종운
Jonny,조니
Joo-chan,주찬
Joo-heon,주헌
Joo-ho,주호
Joo-hong,주홍
Joo-hwan,주환
Joo-hyeong,주형
Joo-hyuk,주혁
Joo-jin,주진
Joo-oh,주오
Joo-on,주온
Joo-seok,주석
Joo-sung,주성
Joo-wan,주완
Joo-won,주원
Joo-yeop,주엽
Joo-young,주영
Joon-gyo,준교
Joon-hee,준희
Joon-hwi,준휘
Joon-hyuk,준혁
Joon-hyung,준형
Joon-jae,준재
Joon-keon,준건
Joon-myung,준명
Joon-oh,준오
Joon-pyo,준표
Joon-sang,준상
Joon-seo,준서
Joon-soo,준수
Joon-sung,준성
Joon-tae,준태
Joon-woo,준우
Joon-yeong,준영
Joon-yong,준용
Joon-young,준영
Joong-hyun,중현
Joong-yul,중열
Jorbit,호르빗
Jordan,조던
Jorge,호르헤
Jose,호세
Jose A.,호세 A.
Josh,조쉬
Josiah,조사이어
Jovani,조바니
JP,JP
JT,JT
Ju-hyung,주형
Juan,후안
Julio,훌리오
Jun-beom,준범
Jun-hee,준희
Jun-ho,준호
Jun-hyuk,준혁
Jun-hyun,준현
Jun-kyu,준규
Jun-seo,준서
Jun-seok,준석
Jun-soo,준수
Jun-soon,준순
Jun-won,준원
Jun-young,준영
Jung-bum,정범
Jung-dae,정대
Jung-ho,정호
Jung-hoo,정후
Jung-hoon,정훈
Jung-hwan,정환
Jung-min,정민
Jung-soo,정수
Jung-taek,정택
Jung-won,정원
Jung-yong,정용
Junior,주니어
Jurickson,주릭슨
Justin,저스틴
Kai-Wei,카이웨이
Kang,강
Kang-hoon,강훈
Kang-hyuk,강혁
Kang-hyun,강현
Kang-joon,강준
Kang-nam,강남
Kang-ryul,강률
Kazuma,카즈마
Ke'Bryan,키브라이언
Keaton,키튼
Keegan,키건
Keibert,키베르트
Ken,켄
Kenley,켄리
Keon,건
Keon-bo,건보
Keon-hee,건희
Keon-woo,건우
Kerry,케리
Ketel,케텔
Keun-woo,근우
Kevin,케빈
Ki-chang,기창
Ki-ho,기호
Ki-hoon,기훈
Ki-jun,기준
Ki-jung,기정
Ki-soon,기순
Ki-yun,기윤
Kirby,커비
Kodai,코다이
Kody,코디
Konnor,코너
Koo-beom,구범
Kris,크리스
Kristian,크리스티안
Kumar,쿠마르
Kun-kuk,건국
Kun-woo,건우
Kun-woong,건웅
Kutter,커터
Kwan-hoe,관회
Kwan-woo,관우
Kwang-hyun,광현
Kwang-min,광민
Kwon,권
Kwon-hoo,권후
Ky,카이
Kyeom-jae,겸재
Kyeong-min,경민
Kyle,카일
Kyo-hoon,교훈
Kyoyama,교야마
Kyu-bin,규빈
Kyu-min,규민
Kyu-seong,규성
Kyu-yeon,규연
Kyun-an,균안
